president,subgroup,modeldate,approve_estimate,approve_hi,approve_lo,disapprove_estimate,disapprove_hi,disapprove_lo,timestamp
Donald Trump,Adults,12/14/2017,35.57671,39.45999,31.69342,57.35314,62.21434,52.49194,2017-12-14
Donald Trump,Voters,12/14/2017,38.49307,43.12283,33.86332,56.5584,60.78818,52.32861,14/12/17 16:09
Donald Trump,All polls,12/14/2017,37.07505,41.67421,32.47588,56.79411,61.32002,52.2682,14/12/17 16:09
Donald Trump,Voters,12/13/2017,38.08359,42.82822,33.33895,56.67448,61.04711,52.30185,13/12/17 19:58
Donald Trump,Adults,12/13/2017,35.46254,39.26604,31.65903,57.3914,62.29413,52.48867,2017-12-13
Donald Trump,All polls,12/13/2017,36.66145,41.23801,32.08489,56.84941,61.49991,52.19891,13/12/17 19:58
Donald Trump,Voters,12/12/17,39.10435,43.67833,34.53038,55.95634,60.43566,51.47703,12/12/17 20:29
Donald Trump,Adults,43081,35.99963,39.58548,32.41379,57.93578,62.80088,53.07068,2017-12-12
Donald Trump,All polls,12/12/17,37.17878,41.6306,32.72696,57.00034,61.66032,52.34037,12/12/17 20:29
Donald Trump,Adults,43051,36.2524,40.00078,32.50401,57.43421,62.4935,52.37493,2017-12-11
Donald Trump,Voters,12/11/17,39.00207,43.99907,34.00508,55.85435,60.61282,51.09588,11/12/17 13:06
Donald Trump,All polls,12/11/17,37.07095,41.68771,32.4542,56.75324,61.64172,51.86476,11/12/17 13:06
Donald Trump,Voters,12/10/17,39.03798,43.97707,34.09888,55.87618,60.59116,51.16121,10/12/17 18:24
Donald Trump,Adults,43020,36.33047,40.0551,32.60583,57.33792,62.36638,52.30947,2017-12-10
Donald Trump,All polls,12/10/17,37.12042,41.69753,32.54332,56.69955,61.57387,51.82524,10/12/17 18:24
Donald Trump,Voters,12/9/17,39.24728,44.29839,34.19617,55.49886,60.23919,50.75853,9/12/17 13:17
Donald Trump,Adults,42990,36.50823,40.32417,32.69229,56.97471,62.03435,51.91507,2017-12-09
Donald Trump,All polls,12/9/17,37.26849,41.89824,32.63873,56.41706,61.28215,51.55198,9/12/17 13:17
Donald Trump,Voters,12/8/17,39.24728,44.29839,34.19617,55.49886,60.23919,50.75853,8/12/17 13:05
Donald Trump,Adults,42959,36.52957,40.34542,32.71372,56.96902,62.01908,51.91897,2017-12-08
Donald Trump,All polls,12/8/17,37.28476,41.90453,32.66499,56.4149,61.26764,51.56216,8/12/17 13:05
Donald Trump,Adults,42928,36.42162,40.21066,32.63258,57.0158,62.0655,51.96611,2017-12-07
Donald Trump,Voters,12/7/17,39.37215,44.43501,34.3093,55.45115,60.17642,50.72587,7/12/17 23:10
Donald Trump,All polls,12/7/17,37.27071,41.92155,32.61987,56.42054,61.28671,51.55438,7/12/17 23:10
Donald Trump,Adults,42898,37.17609,40.67321,33.67897,56.25414,61.24754,51.26074,2017-12-06
Donald Trump,Voters,12/6/17,40.18172,44.876,35.48743,54.5077,58.80473,50.21067,6/12/17 17:13
Donald Trump,All polls,12/6/17,37.84785,42.35403,33.34167,55.80183,60.53749,51.06617,6/12/17 17:13
Donald Trump,Voters,12/5/17,39.69933,44.27053,35.12812,54.95476,58.91797,50.99154,5/12/17 15:43
Donald Trump,Adults,42867,37.34743,41.00904,33.68581,56.66071,61.26614,52.05529,2017-12-05
Donald Trump,All polls,12/5/17,37.90712,42.27509,33.53914,56.05267,60.41055,51.69479,5/12/17 15:43
Donald Trump,Adults,42837,36.96822,40.55458,33.38185,56.90294,61.66179,52.1441,2017-12-04
Donald Trump,Voters,12/4/17,39.90506,43.90241,35.90772,55.0077,59.20808,50.80733,4/12/17 13:11
Donald Trump,All polls,12/4/17,37.86093,42.2491,33.47276,56.09463,60.70168,51.48758,4/12/17 13:11
Donald Trump,Adults,42806,36.93871,40.54438,33.33304,56.9087,61.67534,52.14207,2017-12-03
Donald Trump,Voters,12/3/17,40.03389,44.08035,35.98742,54.96639,59.13824,50.79454,3/12/17 13:17
Donald Trump,All polls,12/3/17,37.89624,42.34225,33.45023,56.08004,60.71577,51.44431,3/12/17 13:17
Donald Trump,Voters,12/2/17,40.03389,44.08035,35.98742,54.96639,59.13824,50.79454,2/12/17 13:05
Donald Trump,Adults,42778,36.94333,40.54791,33.33874,56.88067,61.63329,52.12805,2017-12-02
Donald Trump,All polls,12/2/17,37.90633,42.34116,33.47151,56.05219,60.66449,51.43988,2/12/17 13:05
Donald Trump,Voters,12/1/17,40.03389,44.08035,35.98742,54.96639,59.13824,50.79454,1/12/17 15:48
Donald Trump,Adults,42747,37.08066,40.51703,33.64429,56.67411,61.24419,52.10403,2017-12-01
Donald Trump,All polls,12/1/17,38.00967,42.33422,33.68511,55.9007,60.35528,51.44611,1/12/17 15:48
Donald Trump,Adults,11/30/2017,37.37271,40.76131,33.98411,56.45746,61.06138,51.85354,2017-11-30
Donald Trump,Voters,11/30/2017,40.03595,44.06927,36.00263,54.90004,59.12446,50.67563,30/11/17 17:11
Donald Trump,All polls,11/30/2017,38.16322,42.35735,33.96909,55.75873,60.2225,51.29496,30/11/17 17:11
Donald Trump,Voters,11/29/2017,40.27305,44.39616,36.14995,54.68724,58.86496,50.50953,29/11/17 14:08
Donald Trump,Adults,11/29/2017,37.72719,41.0411,34.41329,56.1861,60.68507,51.68713,2017-11-29
Donald Trump,All polls,11/29/2017,38.42575,42.58271,34.2688,55.55772,59.93708,51.17836,29/11/17 14:08
Donald Trump,Adults,11/28/2017,37.3322,40.77054,33.89386,56.39901,61.09468,51.70334,2017-11-28
Donald Trump,Voters,11/28/2017,39.71597,44.08185,35.35008,55.04973,59.42147,50.67798,28/11/17 14:44
Donald Trump,All polls,11/28/2017,38.24538,42.61953,33.87123,55.60558,60.14755,51.0636,28/11/17 14:44
Donald Trump,Voters,11/27/2017,40.05172,44.42881,35.67463,54.71221,58.98969,50.43472,27/11/17 13:03
Donald Trump,Adults,11/27/2017,37.45752,40.94758,33.96746,56.33474,61.08239,51.58708,2017-11-27
Donald Trump,All polls,11/27/2017,38.3837,42.81887,33.94852,55.51948,60.09151,50.94745,27/11/17 13:03
Donald Trump,Adults,11/26/2017,37.45581,40.93557,33.97606,56.34441,61.08575,51.60306,2017-11-26
Donald Trump,Voters,11/26/2017,40.0748,44.33574,35.81387,54.76105,58.96188,50.56023,26/11/17 13:05
Donald Trump,All polls,11/26/2017,38.39222,42.77029,34.01414,55.54683,60.15193,50.94173,26/11/17 13:05
Donald Trump,Voters,11/25/2017,40.0748,44.33574,35.81387,54.76105,58.96188,50.56023,25/11/17 13:18
Donald Trump,All polls,11/25/2017,38.44119,42.79749,34.08489,55.45301,60.03166,50.87435,25/11/17 13:18
Donald Trump,Adults,11/25/2017,37.52008,40.99286,34.0473,56.21497,60.93591,51.49404,2017-11-25
Donald Trump,Adults,11/24/2017,37.49094,40.94191,34.03998,56.29383,60.95646,51.6312,2017-11-25
Donald Trump,All polls,11/24/2017,38.42519,42.75566,34.09473,55.50383,60.03542,50.97224,25/11/17 13:18
Donald Trump,Voters,11/24/2017,40.0748,44.33574,35.81387,54.76105,58.96188,50.56023,25/11/17 13:18
Donald Trump,Adults,11/23/2017,37.49094,40.94191,34.03998,56.29383,60.95646,51.6312,2017-11-23
Donald Trump,Voters,11/23/2017,40.0748,44.33574,35.81387,54.76105,58.96188,50.56023,23/11/17 13:06
Donald Trump,All polls,11/23/2017,38.42519,42.75566,34.09473,55.50383,60.03542,50.97224,23/11/17 13:06
Donald Trump,Adults,11/22/2017,37.46259,40.92633,33.99884,56.36794,61.05016,51.68571,2017-11-22
Donald Trump,Voters,11/22/2017,40.0748,44.33574,35.81387,54.76105,58.96188,50.56023,22/11/17 13:05
Donald Trump,All polls,11/22/2017,38.41062,42.75452,34.06672,55.54749,60.09285,51.00213,22/11/17 13:05
Donald Trump,Voters,11/21/2017,39.89044,44.09651,35.68438,55.191,59.12326,51.25874,21/11/17 21:28
Donald Trump,Adults,11/21/2017,37.27388,40.85829,33.68948,56.78977,61.24873,52.33081,2017-11-21
Donald Trump,All polls,11/21/2017,38.16841,42.40234,33.93447,56.02618,60.28223,51.77013,21/11/17 21:28
Donald Trump,Voters,11/20/2017,39.11744,43.54091,34.69396,55.79084,59.82341,51.75828,20/11/17 13:18
Donald Trump,Adults,11/20/2017,37.67971,41.36098,33.99844,55.82434,60.27885,51.36983,2017-11-20
Donald Trump,All polls,11/20/2017,38.11539,42.51321,33.71758,55.75067,60.06194,51.43939,20/11/17 13:18
Donald Trump,Adults,11/19/2017,37.64998,41.31887,33.98109,55.8158,60.27929,51.3523,2017-11-19
Donald Trump,Voters,11/19/2017,39.22339,43.62117,34.82561,55.75001,59.75269,51.74733,19/11/17 20:53
Donald Trump,All polls,11/19/2017,38.1493,42.56184,33.73676,55.70245,60.02735,51.37754,19/11/17 20:53
Donald Trump,Voters,11/18/2017,39.28837,43.77735,34.7994,55.46194,59.46125,51.46262,18/11/17 13:18
Donald Trump,Adults,11/18/2017,37.66021,41.32718,33.99324,55.76469,60.22801,51.30137,2017-11-18
